dataset,movement,muscle,muscle_label,peak_m,min_m,rom_m,peak_phase_pct,min_phase_pct
Dorschky2019_P01_OMC_mean,slowwalking,glut_med1_r,Glut. medius,0.125768676711846,0.12038911157860047,0.0053795651332455285,88.8888888888889,58.58585858585859
Dorschky2019_P01_OMC_mean,slowwalking,rect_fem_r,Rect. femoris,0.3925243126397277,0.34222838182909315,0.05029593081063455,46.46464646464647,81.81818181818183
Dorschky2019_P01_OMC_mean,slowwalking,vas_lat_r,Vast. lateralis,0.1981119979494192,0.1480106601715763,0.0501013377778429,100.0,69.6969696969697
Dorschky2019_P01_OMC_mean,slowwalking,tib_ant_r,Tib. anterior,0.3207928389627982,0.2926587687496437,0.028134070213154505,68.68686868686869,48.484848484848484
Dorschky2019_P01_OMC_mean,slowwalking,soleus_r,Soleus,0.30252641273999814,0.270863791631145,0.03166262110885315,48.484848484848484,68.68686868686869
Dorschky2019_P01_OMC_mean,slowwalking,med_gas_r,Med. gastrocnemius,0.4610319041131266,0.43589323691686394,0.025138667196262676,50.505050505050505,68.68686868686869
Dorschky2019_P01_OMC_mean,slowwalking,semimem_r,Semimembranosus,0.4434733118829343,0.4171503231346522,0.026322988748282095,88.8888888888889,56.56565656565657
Dorschky2019_P01_OMC_mean,slowwalking,semiten_r,Semitendinosus,0.5009918918123054,0.46838913832184936,0.03260275349045605,87.87878787878789,50.505050505050505
Dorschky2019_P01_OMC_mean,slowwalking,bifemlh_r,Biceps femoris LH,0.4586269488658582,0.42619832406618474,0.032428624799673456,86.86868686868688,50.505050505050505
Dorschky2019_P01_OMC_mean,slowwalking,bifemsh_r,Biceps femoris SH,0.25255947080296914,0.2466104171670645,0.005949053635904644,60.60606060606061,74.74747474747475
Dorschky2019_P01_OMC_mean,normwalking,glut_med1_r,Glut. medius,0.1259626721067704,0.1199692686467576,0.0059934034600128,90.90909090909092,56.56565656565657
Dorschky2019_P01_OMC_mean,normwalking,rect_fem_r,Rect. femoris,0.39268203610690905,0.34170601284431423,0.050976023262594816,47.47474747474748,83.83838383838385
Dorschky2019_P01_OMC_mean,normwalking,vas_lat_r,Vast. lateralis,0.19844258807400622,0.14801125121855002,0.0504313368554562,0.0,81.81818181818183
Dorschky2019_P01_OMC_mean,normwalking,tib_ant_r,Tib. anterior,0.32272896114048616,0.292631760902054,0.030097200238432154,67.67676767676768,46.46464646464647
Dorschky2019_P01_OMC_mean,normwalking,soleus_r,Soleus,0.3025513252604039,0.2682468814204677,0.034304443839936194,46.46464646464647,67.67676767676768
Dorschky2019_P01_OMC_mean,normwalking,med_gas_r,Med. gastrocnemius,0.4608624154389793,0.4332432626454081,0.027619152793571244,46.46464646464647,67.67676767676768
Dorschky2019_P01_OMC_mean,normwalking,semimem_r,Semimembranosus,0.44514104176360225,0.41573837489276255,0.0294026668708397,90.90909090909092,54.54545454545455
Dorschky2019_P01_OMC_mean,normwalking,semiten_r,Semitendinosus,0.5029156916324669,0.4669331501354886,0.03598254149697827,89.89898989898991,52.525252525252526
Dorschky2019_P01_OMC_mean,normwalking,bifemlh_r,Biceps femoris LH,0.4602312144571985,0.4248444427723523,0.03538677168484622,88.8888888888889,52.525252525252526
Dorschky2019_P01_OMC_mean,normwalking,bifemsh_r,Biceps femoris SH,0.25255976813138525,0.2461939472922828,0.0063658208391024484,59.5959595959596,74.74747474747475
Dorschky2019_P01_OMC_mean,fastwalking,glut_med1_r,Glut. medius,0.1261896616172797,0.11998419291071775,0.0062054687065619535,90.90909090909092,53.535353535353536
Dorschky2019_P01_OMC_mean,fastwalking,rect_fem_r,Rect. femoris,0.394220917100741,0.3409040153843994,0.05331690171634157,45.45454545454546,81.81818181818183
Dorschky2019_P01_OMC_mean,fastwalking,vas_lat_r,Vast. lateralis,0.19830311554438412,0.14801732843845983,0.050285787105924296,100.0,78.7878787878788
Dorschky2019_P01_OMC_mean,fastwalking,tib_ant_r,Tib. anterior,0.32311690618144795,0.29381843368895466,0.029298472492493288,64.64646464646465,43.43434343434344
Dorschky2019_P01_OMC_mean,fastwalking,soleus_r,Soleus,0.30144735668097045,0.2677156935634343,0.03373166311753617,43.43434343434344,64.64646464646465
Dorschky2019_P01_OMC_mean,fastwalking,med_gas_r,Med. gastrocnemius,0.4595436274797036,0.4323316990136818,0.02721192846602183,43.43434343434344,64.64646464646465
Dorschky2019_P01_OMC_mean,fastwalking,semimem_r,Semimembranosus,0.44713090910860304,0.4153942007457443,0.031736708362858745,89.89898989898991,50.505050505050505
Dorschky2019_P01_OMC_mean,fastwalking,semiten_r,Semitendinosus,0.5051835862132571,0.4663500373752359,0.038833548838021203,88.8888888888889,49.494949494949495
Dorschky2019_P01_OMC_mean,fastwalking,bifemlh_r,Biceps femoris LH,0.4621318110470038,0.4242008444886486,0.037930966558355206,87.87878787878789,49.494949494949495
Dorschky2019_P01_OMC_mean,fastwalking,bifemsh_r,Biceps femoris SH,0.2525594813399115,0.2465417130372719,0.0060177683026396145,57.57575757575758,72.72727272727273
