task,segment_label,muscle,muscle_label,n_segments,median_imu_rom_mm,median_omc_rom_mm,median_mtu_corr,median_mtu_nrmse_pct,median_peak_phase_difference_pct_gait
gwo,gwo_v0,bifemlh_r,Biceps femoris LH,18,12.082679326883422,12.023063089708657,0.73983263269862,40.410873114592064,6.5
gwo,gwo_v0,bifemsh_r,Biceps femoris SH,18,1.028752376688022,1.367179073223368,0.7849778360894275,110.54556279813107,1.0
gwo,gwo_v0,glut_med1_r,Glut. medius,18,4.3705285290042,7.1692689486749925,0.6419151122152569,91.31794366682146,6.5
gwo,gwo_v0,med_gas_r,Med. gastrocnemius,18,6.875673005348581,6.613950560507647,0.5420880246524864,46.85376020033713,18.5
gwo,gwo_v0,rect_fem_r,Rect. femoris,18,11.811839688280424,12.021938201500548,0.8594196700624277,63.74972526906683,14.0
gwo,gwo_v0,semimem_r,Semimembranosus,18,9.58880769172149,10.798916961475058,0.7293505456213553,39.255941791018344,5.5
gwo,gwo_v0,semiten_r,Semitendinosus,18,9.990152434425664,11.274183583171588,0.7129735577243654,45.96022675945757,5.0
gwo,gwo_v0,soleus_r,Soleus,18,4.600490981589822,3.104619341995518,0.6299974780963322,39.90379851010124,4.0
gwo,gwo_v0,tib_ant_r,Tib. anterior,18,7.920996133419678,3.725976475196263,0.6207245511128927,65.15516891097619,25.5
gwo,gwo_v0,vas_lat_r,Vast. lateralis,18,4.214479285176625,8.825427860622403,0.7970934002845822,123.015091603401,16.0
gwo,gwo_v1,bifemlh_r,Biceps femoris LH,18,32.51103726408097,40.791102016678266,0.7625813586709116,28.294210175747942,10.0
gwo,gwo_v1,bifemsh_r,Biceps femoris SH,18,2.2928781635871145,6.218148240071109,0.5874037253478916,89.84181779576988,5.5
gwo,gwo_v1,glut_med1_r,Glut. medius,18,14.668663148090268,28.831679053460256,0.7312444566655613,47.503566568695746,8.0
gwo,gwo_v1,med_gas_r,Med. gastrocnemius,18,18.244977127625017,24.253002167653527,0.6351920102158322,28.70127172545636,31.0
gwo,gwo_v1,rect_fem_r,Rect. femoris,18,27.14139009227623,53.38222055803421,0.706929968688927,62.01028035227724,14.0
gwo,gwo_v1,semimem_r,Semimembranosus,18,28.83484926923946,31.589703962763476,0.7843620213017319,24.114861086136,2.5
gwo,gwo_v1,semiten_r,Semitendinosus,18,32.62861238378439,41.80334478281622,0.7359946087931273,31.405281933096173,7.0
gwo,gwo_v1,soleus_r,Soleus,18,19.09558631745928,22.02337022548248,0.7379173267762446,23.614149930371063,2.5
gwo,gwo_v1,tib_ant_r,Tib. anterior,18,21.32563651183281,37.473231161225975,0.5659217243655432,32.7886618186801,18.0
gwo,gwo_v1,vas_lat_r,Vast. lateralis,18,11.937000990667551,40.31328589769041,0.7073235283875521,84.68251917236968,38.0
gwo,gwo_v2,bifemlh_r,Biceps femoris LH,18,30.82384225671514,37.88836371565091,0.7797500648382054,32.27484217955977,20.0
gwo,gwo_v2,bifemsh_r,Biceps femoris SH,18,2.4284873253600376,6.1378595752786955,0.6602466210474988,77.63275668992884,3.5
gwo,gwo_v2,glut_med1_r,Glut. medius,18,15.867292202189464,29.8209643755145,0.7140635485389506,45.45090557127148,4.5
gwo,gwo_v2,med_gas_r,Med. gastrocnemius,18,20.051574842797294,19.002798597516414,0.6467386604860432,28.953774271856027,10.5
gwo,gwo_v2,rect_fem_r,Rect. femoris,18,27.805402458509683,39.474356596481826,0.6659794976830622,63.09803164181395,12.0
gwo,gwo_v2,semimem_r,Semimembranosus,18,28.649212219332586,32.370414601877314,0.8497387976758053,25.75305803059409,10.0
gwo,gwo_v2,semiten_r,Semitendinosus,18,33.247691667873916,40.1110580844147,0.7466124848814091,31.802669013749465,16.0
gwo,gwo_v2,soleus_r,Soleus,18,20.54156331117604,14.805957698052485,0.772233567233646,23.848754147697427,2.0
gwo,gwo_v2,tib_ant_r,Tib. anterior,18,19.481216535337325,22.557950951557686,0.5597186440038174,33.785028786413434,28.5
gwo,gwo_v2,vas_lat_r,Vast. lateralis,18,12.37366068586143,43.17182208757181,0.7062322175167339,79.35389003460354,21.0
ng,ng_v0,bifemlh_r,Biceps femoris LH,18,9.034788495208474,26.232681751163582,0.7897669394829822,78.81226263501655,2.0
ng,ng_v0,bifemsh_r,Biceps femoris SH,18,2.578487535411594,4.241110748231469,0.9486509878539232,30.305140598662163,9.5
ng,ng_v0,glut_med1_r,Glut. medius,18,3.437791265305183,9.77968509528268,0.6330215843534892,102.48023098932572,4.5
ng,ng_v0,med_gas_r,Med. gastrocnemius,18,7.659909378068541,9.709918625563752,0.7631670542477782,39.13688136963637,5.5
ng,ng_v0,rect_fem_r,Rect. femoris,18,21.675438159196702,27.16086411155208,0.8905099353824742,57.550441133859294,10.5
ng,ng_v0,semimem_r,Semimembranosus,18,6.975090237348186,16.87664413236703,0.7927535630063368,66.52746883541747,1.5
ng,ng_v0,semiten_r,Semitendinosus,18,9.492022403831262,23.644533072905453,0.8208986826756638,69.11400888212404,1.5
ng,ng_v0,soleus_r,Soleus,18,5.665603232585747,7.338398844879551,0.8424533450995839,33.75543005623484,3.0
ng,ng_v0,tib_ant_r,Tib. anterior,18,7.45097901629746,7.756832588070944,0.5633648593641658,79.33782808604528,30.0
ng,ng_v0,vas_lat_r,Vast. lateralis,18,15.278463623808761,21.95458971170193,0.9632508013718768,24.04875833144343,11.5
ng,ng_v1,bifemlh_r,Biceps femoris LH,18,43.49876407969361,53.20347359467356,0.9749043770528579,14.479162475706215,1.0
ng,ng_v1,bifemsh_r,Biceps femoris SH,18,5.912771048136367,6.6522346545209725,0.8633750773134702,14.907606942383191,12.0
ng,ng_v1,glut_med1_r,Glut. medius,18,12.865333572901122,31.76164593187554,0.836814014564625,57.602928544003746,6.5
ng,ng_v1,med_gas_r,Med. gastrocnemius,18,24.526879546129976,21.296501654975597,0.8633884495552677,17.636577263581955,4.0
ng,ng_v1,rect_fem_r,Rect. femoris,18,72.25083070615706,82.22372569334807,0.9820503906400282,9.247678445384912,3.5
ng,ng_v1,semimem_r,Semimembranosus,18,33.992985808617235,40.99498461225748,0.9483925681784968,14.422451299025681,1.0
ng,ng_v1,semiten_r,Semitendinosus,18,42.07072962996741,53.44469028343532,0.9481854975262489,14.682315070837156,1.0
ng,ng_v1,soleus_r,Soleus,18,25.482060611762307,22.52560002185533,0.9349597855729885,14.742766610221667,3.0
ng,ng_v1,tib_ant_r,Tib. anterior,18,23.888592141820624,22.655520350741114,0.8038712116868793,21.870504878169335,19.0
ng,ng_v1,vas_lat_r,Vast. lateralis,18,57.005469352576085,56.24932067788095,0.9833009616715762,7.137052581146856,11.0
ng,ng_v2,bifemlh_r,Biceps femoris LH,18,43.46238688352813,54.241991761042804,0.9493308359505885,18.045611313279686,2.0
ng,ng_v2,bifemsh_r,Biceps femoris SH,18,6.534329578429865,7.4873993974967075,0.8936977795508123,14.380654916154535,20.0
ng,ng_v2,glut_med1_r,Glut. medius,18,12.938384797051352,34.14235557617128,0.7894419827043984,60.52398243157171,7.0
ng,ng_v2,med_gas_r,Med. gastrocnemius,18,25.180676412281944,21.28533264525939,0.8645726866085639,18.917066037285082,6.0
ng,ng_v2,rect_fem_r,Rect. femoris,18,72.78471930675445,84.80636569466807,0.9826601339830501,10.35052618873231,2.5
ng,ng_v2,semimem_r,Semimembranosus,18,32.67577529617924,41.94712573798681,0.9328050678656313,18.808439261266656,8.5
ng,ng_v2,semiten_r,Semitendinosus,18,41.973578893748616,51.710124804705075,0.9290889903041828,19.192360228878677,2.5
