subject,task,segment_label,start_s,end_s,velocity_kmh,muscle,muscle_label,rmse_m,nrmse_pct_of_imu_rom,corr,imu_rom_m,omc_rom_m,mean_bias_m,peak_phase_imu,peak_phase_omc
austra,ng,ng_v0,200.59,202.09,3.54,glut_med1_r,Glut. medius,0.023858994097163775,116.6395900458154,0.02059175498229996,0.020455313747066578,0.0787471608316393,0.010338001728953022,43.0,46.0
austra,ng,ng_v0,200.59,202.09,3.54,rect_fem_r,Rect. femoris,0.03574652035082026,59.86828986790693,0.19735545156250195,0.059708604387550046,0.12086311337493477,0.01515666748433257,60.0,65.0
austra,ng,ng_v0,200.59,202.09,3.54,vas_lat_r,Vast. lateralis,0.01579416420971479,34.75028120593227,0.5307873756989052,0.045450464461330886,0.05347239190213149,-0.000623641250088361,29.0,30.0
austra,ng,ng_v0,200.59,202.09,3.54,tib_ant_r,Tib. anterior,0.006912321979023168,21.212495537462576,0.8092318438317037,0.032586085719219504,0.024243427671808315,-0.005312611565099333,78.0,78.0
austra,ng,ng_v0,200.59,202.09,3.54,soleus_r,Soleus,0.004699584300581927,18.41448000245431,0.8544299192937154,0.025521134997868844,0.01840108535042173,0.003727600409557345,69.0,64.0
austra,ng,ng_v0,200.59,202.09,3.54,med_gas_r,Med. gastrocnemius,0.0043989159522204125,19.639958602534023,0.8019466571030532,0.022397786274625076,0.021254647321842568,0.002795100125031106,69.0,64.0
austra,ng,ng_v0,200.59,202.09,3.54,semimem_r,Semimembranosus,0.023710845993210123,55.102039612461816,0.30709362288390096,0.0430307955204034,0.08277948728532414,-0.008343580393807042,96.0,60.0
austra,ng,ng_v0,200.59,202.09,3.54,semiten_r,Semitendinosus,0.03127611460099574,68.17403984370188,0.2290410222095252,0.045876868486450895,0.10188891705804648,-0.015122328341437466,96.0,62.0
austra,ng,ng_v0,200.59,202.09,3.54,bifemlh_r,Biceps femoris LH,0.030475738127190892,84.69088991610056,0.12819388412077154,0.035984671028231996,0.10251884794928307,-0.0123364923930572,22.0,64.0
austra,ng,ng_v0,200.59,202.09,3.54,bifemsh_r,Biceps femoris SH,0.006824315998074491,32.22254972981966,0.8298245753651246,0.021178696457279655,0.006614509190892126,0.0034403419426396785,38.0,75.0
austra,ng,ng_v1,270.55,272.05,4.02,glut_med1_r,Glut. medius,0.01749058579583252,108.78875463349216,0.17272469577266722,0.016077567809980056,0.07792110765248825,-0.0048048151956172494,35.0,44.0
austra,ng,ng_v1,270.55,272.05,4.02,rect_fem_r,Rect. femoris,0.12217934797744293,169.0764935107456,0.6178293343702292,0.07226276429116851,0.1345039191063312,-0.11966214893351487,59.0,55.0
austra,ng,ng_v1,270.55,272.05,4.02,vas_lat_r,Vast. lateralis,0.12479359181295707,297.7544308220649,0.8415271902633457,0.04191158179188692,0.055576567359196916,-0.12427371055008436,94.0,22.0
austra,ng,ng_v1,270.55,272.05,4.02,tib_ant_r,Tib. anterior,0.006837794158015024,39.12489043955488,0.6420575406178735,0.017476839120045384,0.020084165697471568,0.005482138908198519,18.0,73.0
austra,ng,ng_v1,270.55,272.05,4.02,soleus_r,Soleus,0.0039338519377373786,27.23519023716702,0.5504156657069216,0.014444003891586454,0.016399443393255386,0.0005563224419115048,61.0,58.0
austra,ng,ng_v1,270.55,272.05,4.02,med_gas_r,Med. gastrocnemius,0.04401439965807652,171.9102262363706,0.5646903597297351,0.025603130553477516,0.01545488139131479,0.04352768404494364,3.0,55.0
austra,ng,ng_v1,270.55,272.05,4.02,semimem_r,Semimembranosus,0.07262697113687752,128.97427750639343,0.29590772286040484,0.05631120603352657,0.08272339675782442,0.06985781669217819,81.0,45.0
austra,ng,ng_v1,270.55,272.05,4.02,semiten_r,Semitendinosus,0.08512056302966352,124.54445837881897,0.34877765106189484,0.06834552427114637,0.10193381119158929,0.08185932349850292,81.0,45.0
austra,ng,ng_v1,270.55,272.05,4.02,bifemlh_r,Biceps femoris LH,0.05737852818488844,114.93477652535175,0.3999469164431238,0.04992268651797671,0.1023272616491337,0.05335833285415125,82.0,46.0
austra,ng,ng_v1,270.55,272.05,4.02,bifemsh_r,Biceps femoris SH,0.06543320422933983,561.2573598771817,-0.5863267372062653,0.011658324488369898,0.016491603426371126,0.06521756058340106,76.0,67.0
austra,ng,ng_v2,340.01,341.51,4.46,glut_med1_r,Glut. medius,0.027828892232829725,179.73841518812404,0.1000848002041063,0.015482996333144747,0.09882229696405445,0.010442837259740819,45.0,0.0
austra,ng,ng_v2,340.01,341.51,4.46,rect_fem_r,Rect. femoris,0.11779588568621749,154.1154828413574,-0.5606988940793759,0.0764335182387052,0.0837537726650095,-0.1114500814027643,65.0,0.0
austra,ng,ng_v2,340.01,341.51,4.46,vas_lat_r,Vast. lateralis,0.13132738440566347,307.97384481937456,-0.609681845468451,0.04264238233694373,0.0964729389200969,-0.1264241773148767,97.0,0.0
austra,ng,ng_v2,340.01,341.51,4.46,tib_ant_r,Tib. anterior,0.024348691570985057,138.77604382042384,0.6739644217239408,0.017545313226029313,0.05566857528745828,0.02002877259514676,9.0,35.0
austra,ng,ng_v2,340.01,341.51,4.46,soleus_r,Soleus,0.013280373429120468,90.13578490975978,0.7694823793248968,0.014733741368554376,0.041481491886626976,-0.009810653870461077,53.0,67.0
austra,ng,ng_v2,340.01,341.51,4.46,med_gas_r,Med. gastrocnemius,0.03701864114669135,146.3573601678662,0.6612421303858007,0.0252933238917622,0.047282904206434606,0.035434725843159494,84.0,67.0
austra,ng,ng_v2,340.01,341.51,4.46,semimem_r,Semimembranosus,0.03862860547161667,64.12288618639961,-0.529465862690299,0.06024152649543363,0.07711847655771514,0.017245528141614334,16.0,58.0
austra,ng,ng_v2,340.01,341.51,4.46,semiten_r,Semitendinosus,0.04399805762165263,59.58594888738303,-0.5507579392878776,0.07383965254091801,0.08709338038664216,0.018914825057335802,16.0,58.0
austra,ng,ng_v2,340.01,341.51,4.46,bifemlh_r,Biceps femoris LH,0.032473177156899215,61.73309050526841,-0.49070652884187654,0.05260254571918427,0.07540745204447652,0.009737014383062584,17.0,58.0
austra,ng,ng_v2,340.01,341.51,4.46,bifemsh_r,Biceps femoris SH,0.05419182430133328,414.66450542178455,-0.4951250218380068,0.013068836033171188,0.0650564012695064,0.05070686894855661,82.0,28.0
austra,gwo,gwo_v0,6.11,7.61,3.57,glut_med1_r,Glut. medius,0.006891142688451645,194.05388164561964,0.5267949580557473,0.0035511491086976654,0.007875591602997847,-0.00657959994042074,23.0,16.0
austra,gwo,gwo_v0,6.11,7.61,3.57,rect_fem_r,Rect. femoris,0.005600246733389151,43.17182410823231,0.9790592897781708,0.012971994695774869,0.019920582964607303,-0.005166286478764074,51.0,30.0
austra,gwo,gwo_v0,6.11,7.61,3.57,vas_lat_r,Vast. lateralis,0.005463005734544414,54.43703439374216,0.9698551228404456,0.010035458021152632,0.017271175658369525,-0.004971084943927157,0.0,30.0
austra,gwo,gwo_v0,6.11,7.61,3.57,tib_ant_r,Tib. anterior,0.006384521751617255,78.36819080035585,0.6296930522133924,0.00814682805155209,0.0071298796536397036,-0.00615848223215842,95.0,99.0
austra,gwo,gwo_v0,6.11,7.61,3.57,soleus_r,Soleus,0.0036468036783753217,42.283000417418734,0.733174363547514,0.008624751418711996,0.0069174626174879905,0.003417370861476248,82.0,84.0
austra,gwo,gwo_v0,6.11,7.61,3.57,med_gas_r,Med. gastrocnemius,0.00464228106931841,40.65154909629925,0.5692339846931295,0.01141969044850255,0.009051704029246266,0.004179305362023414,2.0,83.0
austra,gwo,gwo_v0,6.11,7.61,3.57,semimem_r,Semimembranosus,0.0021077181924686913,24.03480405076039,0.8851587318880408,0.008769441964316782,0.008683175113750441,0.0016412696050322408,92.0,94.0
austra,gwo,gwo_v0,6.11,7.61,3.57,semiten_r,Semitendinosus,0.002934724056863914,30.058612954943115,0.8948455537212053,0.009763338252709697,0.010095633884955602,0.0025242770048745796,92.0,94.0
austra,gwo,gwo_v0,6.11,7.61,3.57,bifemlh_r,Biceps femoris LH,0.003955809417893366,36.93477480727275,0.9204800862946789,0.010710257307740334,0.011364267955296437,0.003675754344315703,92.0,94.0
austra,gwo,gwo_v0,6.11,7.61,3.57,bifemsh_r,Biceps femoris SH,0.0008684137101471227,49.12461953254534,0.9660975228150371,0.0017677769688817513,0.002349682669810893,0.0008304099235336896,80.0,80.0
austra,gwo,gwo_v1,37.63,39.13,4.05,glut_med1_r,Glut. medius,0.021392415609556105,110.77100549430645,-0.02368656511615126,0.019312288007221942,0.08617127271176361,-0.01025995935988173,50.0,60.0
austra,gwo,gwo_v1,37.63,39.13,4.05,rect_fem_r,Rect. femoris,0.01905735626056001,75.45975458153139,0.7553074315214757,0.02525499369331935,0.10008236891450634,-0.008800409284168104,4.0,0.0
austra,gwo,gwo_v1,37.63,39.13,4.05,vas_lat_r,Vast. lateralis,0.007516600785914579,69.53358458928636,0.47201557448635145,0.010810029182750813,0.03129613232988285,-0.003821776058926511,68.0,0.0
austra,gwo,gwo_v1,37.63,39.13,4.05,tib_ant_r,Tib. anterior,0.004648967769243746,25.77118005149715,0.6167479547868975,0.018039405878791603,0.026669655930153913,-0.00031205826045271065,49.0,44.0
austra,gwo,gwo_v1,37.63,39.13,4.05,soleus_r,Soleus,0.0034731035484364477,23.81937497445408,0.7209080424156081,0.014581002029487755,0.02421208513221651,0.00019814292583127924,22.0,100.0
austra,gwo,gwo_v1,37.63,39.13,4.05,med_gas_r,Med. gastrocnemius,0.004600366526216495,25.0714038277713,0.6165885311848824,0.018349058384679373,0.023459475854600786,1.2878748332774182e-05,2.0,76.0
austra,gwo,gwo_v1,37.63,39.13,4.05,semimem_r,Semimembranosus,0.015168097741755322,44.41936270387041,0.7711203900822513,0.034147490685258464,0.08786235996090425,0.006708996783776929,41.0,42.0
austra,gwo,gwo_v1,37.63,39.13,4.05,semiten_r,Semitendinosus,0.019191778214425168,51.25684636279168,0.7564226246442612,0.03744237029057029,0.10856956824756137,0.008549150977715195,42.0,42.0
austra,gwo,gwo_v1,37.63,39.13,4.05,bifemlh_r,Biceps femoris LH,0.01990671900297543,57.663938900922076,0.771228303398309,0.03452195493821375,0.10818571867240312,0.009938862988392924,41.0,42.0
austra,gwo,gwo_v1,37.63,39.13,4.05,bifemsh_r,Biceps femoris SH,0.0011911246062981343,51.706694065103065,0.6112868608882731,0.0023036177961762716,0.005097367780246331,0.000463170997103672,13.0,46.0
austra,gwo,gwo_v2,67.68,69.18,4.57,glut_med1_r,Glut. medius,0.014900248286671447,91.12330671775221,0.5786632486193964,0.016351742296648514,0.08064365526595606,-0.009370842194681948,52.0,53.0
austra,gwo,gwo_v2,67.68,69.18,4.57,rect_fem_r,Rect. femoris,0.02461321568282654,117.56267706052354,0.19104463509856578,0.02093624975055236,0.13704234828883222,-0.008919453395671548,4.0,1.0
austra,gwo,gwo_v2,67.68,69.18,4.57,vas_lat_r,Vast. lateralis,0.00944148310313226,70.46168721948082,0.7134654898370301,0.013399456464508186,0.053007241084053996,-0.004676281201197477,62.0,65.0
austra,gwo,gwo_v2,67.68,69.18,4.57,tib_ant_r,Tib. anterior,0.004992223956143855,36.550744648430936,0.568151738272264,0.013658337208071525,0.023345792433244195,-0.0035896834107245865,46.0,44.0
austra,gwo,gwo_v2,67.68,69.18,4.57,soleus_r,Soleus,0.002795470972778244,19.82857769621136,0.7672511502056434,0.014098192092276862,0.013077570957076068,0.001890138051678725,98.0,80.0
austra,gwo,gwo_v2,67.68,69.18,4.57,med_gas_r,Med. gastrocnemius,0.0049961268500106955,30.67685313598256,0.5026517547081953,0.01628630820724719,0.02346397537184508,0.002612677143595263,0.0,80.0
austra,gwo,gwo_v2,67.68,69.18,4.57,semimem_r,Semimembranosus,0.01597011337084845,52.187345962660224,0.2764469898677271,0.03060150516616611,0.08183592156508668,0.005553394298897482,37.0,80.0
austra,gwo,gwo_v2,67.68,69.18,4.57,semiten_r,Semitendinosus,0.020074945530104395,60.14075524009026,0.21963990743775638,0.03337993586871735,0.10279567777393128,0.007257329939996028,37.0,80.0
austra,gwo,gwo_v2,67.68,69.18,4.57,bifemlh_r,Biceps femoris LH,0.020983115069553058,67.14868690126919,0.2433997314890731,0.031248734767375552,0.10500556913891124,0.008761805855120581,36.0,80.0
austra,gwo,gwo_v2,67.68,69.18,4.57,bifemsh_r,Biceps femoris SH,0.0008939010659343306,36.33023485857478,0.7350918883197775,0.0024604879913771027,0.006011029809772139,0.00036923662964591733,13.0,69.0
austra,rd,rd_correct,49.252,50.752,,glut_med1_r,Glut. medius,0.025816379081250895,1311.0168372498342,0.05813155136500935,0.001969187454175403,0.04824803248686002,-0.02326994437517229,33.0,2.0
austra,rd,rd_correct,49.252,50.752,,rect_fem_r,Rect. femoris,0.055596953537845197,804.614427739768,0.2833289211086078,0.006909763437131233,0.08534245947501679,-0.042058684453390005,11.0,12.0
austra,rd,rd_correct,49.252,50.752,,vas_lat_r,Vast. lateralis,0.012526998172947527,227.69289226563413,0.5005972706679668,0.005501708045560383,0.0190084105227038,-0.011431384480167686,8.0,5.0
austra,rd,rd_correct,49.252,50.752,,tib_ant_r,Tib. anterior,0.003496335922802713,11.465979554677235,0.9954141886817005,0.03049312887860922,0.02509908067431188,-0.0023210878089368284,10.0,2.0
austra,rd,rd_correct,49.252,50.752,,soleus_r,Soleus,0.0033410489189658076,14.785273225200468,0.9985409292360277,0.022597140195361576,0.019008644608317027,0.0028769754686931567,49.0,48.0
austra,rd,rd_correct,49.252,50.752,,med_gas_r,Med. gastrocnemius,0.004786597467205407,19.88700119822955,0.9916994639368213,0.024068975606194143,0.021973389077442507,0.004406635181046075,49.0,48.0
austra,rd,rd_correct,49.252,50.752,,semimem_r,Semimembranosus,0.042694914799417366,1258.5239323391104,0.27720396722826157,0.00339245950770789,0.06210153120907724,0.03146384126440191,50.0,26.0
austra,rd,rd_correct,49.252,50.752,,semiten_r,Semitendinosus,0.06036369187227276,1557.1066892211243,0.2715079343238574,0.0038766574114755814,0.08739306355923637,0.04468728265366428,50.0,48.0
austra,rd,rd_correct,49.252,50.752,,bifemlh_r,Biceps femoris LH,0.04842716227553372,1066.736582911175,0.29709950286317816,0.004539748898774398,0.06701700446689496,0.0373350383323751,50.0,48.0
austra,rd,rd_correct,49.252,50.752,,bifemsh_r,Biceps femoris SH,0.0010919558279805866,155.14003047248696,0.5499497250770964,0.0007038517555107981,0.0010320537258028395,0.0010447282934609127,41.0,48.0
austra,rd,rd_toes,89.211,90.711,,glut_med1_r,Glut. medius,0.014703264831427998,1257.9426918884785,-0.055121231067734346,0.0011688342343604552,0.051642635492415406,-0.011635021929592145,80.0,78.0
austra,rd,rd_toes,89.211,90.711,,rect_fem_r,Rect. femoris,0.03365131172557794,1290.7231367544775,0.035548607651815146,0.002607167313215919,0.08684980367092471,-0.01581502880721356,49.0,3.0
austra,rd,rd_toes,89.211,90.711,,vas_lat_r,Vast. lateralis,0.010877352406456547,293.6938514510076,-0.3825137138250786,0.0037036364066583283,0.01787975263086322,-0.00908656656485872,83.0,99.0
austra,rd,rd_toes,89.211,90.711,,tib_ant_r,Tib. anterior,0.0038037734437508745,14.245479600203215,0.9496349698853906,0.026701617288452772,0.020467754707856667,0.001309761320890255,30.0,50.0
austra,rd,rd_toes,89.211,90.711,,soleus_r,Soleus,0.001978041893060069,10.731703543087779,0.9714645219607035,0.018431760485352888,0.015405230844377948,0.0008019423929583072,80.0,80.0
austra,rd,rd_toes,89.211,90.711,,med_gas_r,Med. gastrocnemius,0.002771100578055671,14.66401327341225,0.9591398593267758,0.018897286345751163,0.01827759746879687,0.0018823289022842492,80.0,84.0
austra,rd,rd_toes,89.211,90.711,,semimem_r,Semimembranosus,0.023910963160405783,920.4883422496824,0.6461159950599253,0.0025976388904575543,0.06629168158755105,0.007607196848239731,92.0,82.0
austra,rd,rd_toes,89.211,90.711,,semiten_r,Semitendinosus,0.033897057499794825,1249.5486684952432,0.6521152248234946,0.002712744077476792,0.09271190627843895,0.011971795020404363,92.0,82.0
austra,rd,rd_toes,89.211,90.711,,bifemlh_r,Biceps femoris LH,0.02714219648510093,898.166424391004,0.6474188092331445,0.003021956259777192,0.07281703314916343,0.0102564922442791,92.0,82.0
austra,rd,rd_toes,89.211,90.711,,bifemsh_r,Biceps femoris SH,0.000798147145772829,188.42292936080648,-0.30425991565634947,0.00042359342808245826,0.0006467322131150088,0.0007523133603219038,16.0,100.0
austra,rd,rd_supination,126.065,127.565,,glut_med1_r,Glut. medius,0.018683469613596078,254.6824778088172,-0.5540770538454493,0.007335985488417157,0.048244584149640626,-0.015142500094336575,75.0,28.0
austra,rd,rd_supination,126.065,127.565,,rect_fem_r,Rect. femoris,0.03523527739858656,586.773572168849,0.5050213100607645,0.006004918944857884,0.09433708069984748,-0.018723356116512328,3.0,4.0
austra,rd,rd_supination,126.065,127.565,,vas_lat_r,Vast. lateralis,0.011317732543089027,306.668083126038,0.5292357207303203,0.003690547913470843,0.028251792640331258,-0.008473509115449899,15.0,18.0
austra,rd,rd_supination,126.065,127.565,,tib_ant_r,Tib. anterior,0.0032178293062436534,13.664854446155486,0.99269009289241,0.023548215013362017,0.0231826841244685,-0.002966280761689905,28.0,36.0
austra,rd,rd_supination,126.065,127.565,,soleus_r,Soleus,0.003945133294221075,31.088049223734487,0.9908710178238683,0.012690192510404041,0.013153439731534655,0.0038513499294259295,72.0,75.0
austra,rd,rd_supination,126.065,127.565,,med_gas_r,Med. gastrocnemius,0.0048554936500422525,33.66237867895807,0.9914688811423342,0.014424095505399803,0.01625217514783328,0.004752519942146764,72.0,68.0
austra,rd,rd_supination,126.065,127.565,,semimem_r,Semimembranosus,0.024523756209455787,774.0466201565235,0.503641992601234,0.003168253122078968,0.06578748413670876,0.01117929908134771,71.0,46.0
austra,rd,rd_supination,126.065,127.565,,semiten_r,Semitendinosus,0.035189806952778874,840.403448930615,0.5020512627037019,0.004187251610825338,0.09331354799268632,0.016972804443531785,71.0,46.0
austra,rd,rd_supination,126.065,127.565,,bifemlh_r,Biceps femoris LH,0.02858303694961252,1130.3838120906403,0.5297390865562766,0.0025286134358867285,0.07451804577697574,0.014562224495204999,100.0,71.0
austra,rd,rd_supination,126.065,127.565,,bifemsh_r,Biceps femoris SH,0.0008984874874528346,173.4526426852051,0.6596273387002141,0.0005180016133184417,0.0014432957199516094,0.0008234316819809133,59.0,46.0
austra,rd,rd_pronation,171.044,172.44313,,glut_med1_r,Glut. medius,0.006317714298001702,123.1755128702499,-0.7921769697676151,0.005129034294873713,0.003064852496298634,-0.006034621049732352,3.0,66.0
austra,rd,rd_pronation,171.044,172.44313,,rect_fem_r,Rect. femoris,0.001533963221224178,21.478918268193006,0.8984555968945898,0.0071417154349702194,0.006604885797987348,-0.0011092573926470496,100.0,7.0
austra,rd,rd_pronation,171.044,172.44313,,vas_lat_r,Vast. lateralis,0.0058300059594796885,82.16771556441115,0.9764484186070793,0.00709525136415598,0.008268603117776274,-0.0057861658468802086,100.0,7.0
austra,rd,rd_pronation,171.044,172.44313,,tib_ant_r,Tib. anterior,0.003166353579700604,16.47587504172442,0.9700561228383966,0.019218120868736588,0.015523123268872618,-0.0021070675001800513,19.0,3.0
austra,rd,rd_pronation,171.044,172.44313,,soleus_r,Soleus,0.0016017264017385566,9.28269570188916,0.9898656396839854,0.017254970465234387,0.014224731690178904,0.0005183923234274339,51.0,49.0
austra,rd,rd_pronation,171.044,172.44313,,med_gas_r,Med. gastrocnemius,0.0020740059230439094,11.277075038224824,0.9911457115573872,0.018391346302244593,0.015682110273606553,0.0014328070116500602,51.0,49.0
austra,rd,rd_pronation,171.044,172.44313,,semimem_r,Semimembranosus,0.003905700627801501,187.49002425576174,-0.5159944074354134,0.0020831511667381286,0.005588239686399654,-0.00362344651788214,64.0,0.0
austra,rd,rd_pronation,171.044,172.44313,,semiten_r,Semitendinosus,0.004320004505151817,172.7111626478029,-0.5681540479329058,0.002501288532207546,0.0070237023487205175,-0.003915606442842923,64.0,0.0
austra,rd,rd_pronation,171.044,172.44313,,bifemlh_r,Biceps femoris LH,0.002863656340676828,73.73494788301825,-0.19333921265771617,0.003883716504716417,0.005637702644380238,-0.0022311559713714207,55.0,0.0
austra,rd,rd_pronation,171.044,172.44313,,bifemsh_r,Biceps femoris SH,0.0003228319742225982,59.573061830841844,0.9699214895219863,0.0005419093199192648,0.00032687167871686684,0.00031406495646222574,37.0,49.0
austra,rgs,rgs_correct,11.935,13.435,,glut_med1_r,Glut. medius,0.03215197526550821,122.36729396578939,-0.416857700981201,0.02627497448337547,0.11421082546748239,0.0003155162025572714,34.0,2.0
austra,rgs,rgs_correct,11.935,13.435,,rect_fem_r,Rect. femoris,0.041778290213403395,64.89299427399595,0.7531363231071139,0.06438027814990943,0.1343806550553589,-0.027974377028270447,100.0,100.0
austra,rgs,rgs_correct,11.935,13.435,,vas_lat_r,Vast. lateralis,0.007734296879304662,14.123607540540013,0.983639754807,0.054761482553974616,0.046920817724013825,-0.006076164563691658,84.0,78.0
austra,rgs,rgs_correct,11.935,13.435,,tib_ant_r,Tib. anterior,0.004633554485749845,35.19138413578021,0.5710059958316491,0.01316672986737899,0.014566031361924636,-0.0028542684812800133,61.0,32.0
austra,rgs,rgs_correct,11.935,13.435,,soleus_r,Soleus,0.0021363676948369112,21.24268792096626,0.7658949934196128,0.01005695561119807,0.011513650312476198,0.0010510331756341325,0.0,100.0
austra,rgs,rgs_correct,11.935,13.435,,med_gas_r,Med. gastrocnemius,0.002983828827986945,18.525677804615533,0.9360402097203493,0.016106448894644743,0.015420127834597674,0.0022232560672092146,33.0,33.0
austra,rgs,rgs_correct,11.935,13.435,,semimem_r,Semimembranosus,0.03693278151556248,111.65912633408352,0.2578881144754031,0.033076366194250695,0.08943012684426122,0.02246909771917457,42.0,56.0
austra,rgs,rgs_correct,11.935,13.435,,semiten_r,Semitendinosus,0.046212644667868126,109.42198687364508,0.345502174130388,0.04223341760484767,0.11429375671410347,0.028946897354979424,42.0,51.0
austra,rgs,rgs_correct,11.935,13.435,,bifemlh_r,Biceps femoris LH,0.041376450048583924,95.56222010389068,0.42279463577659204,0.04329791627235263,0.09826800392351015,0.02763499239996321,42.0,51.0
austra,rgs,rgs_correct,11.935,13.435,,bifemsh_r,Biceps femoris SH,0.0017765228492974048,48.094030635178385,0.49253732770435527,0.0036938531161452848,0.014080250889635215,0.0001128315661753313,45.0,47.0
austra,rgs,rgs_flexion,104.755,106.255,,glut_med1_r,Glut. medius,0.040481552764950586,577.9989611785574,-0.31746930283979397,0.007003741439674471,0.08726285743710709,0.03208679524494147,52.0,14.0
austra,rgs,rgs_flexion,104.755,106.255,,rect_fem_r,Rect. femoris,0.06742428325196209,109.8443988810321,0.18862190902702453,0.061381630687411315,0.14563626699262278,-0.04946463182096774,0.0,76.0
austra,rgs,rgs_flexion,104.755,106.255,,vas_lat_r,Vast. lateralis,0.01863920125497284,44.29111727782516,0.20381104271066233,0.04208338466165712,0.056670177744045036,0.0027713181283383695,0.0,76.0
austra,rgs,rgs_flexion,104.755,106.255,,tib_ant_r,Tib. anterior,0.00524599148169716,24.586135829884796,0.837709432916551,0.021337193929110987,0.03272975445963733,-0.0013345747298394149,59.0,58.0
austra,rgs,rgs_flexion,104.755,106.255,,soleus_r,Soleus,0.0025763407414500596,13.22457021339012,0.9618421720505503,0.019481470474113916,0.023060762469587603,-0.0018720871579121715,1.0,0.0
