subject,task,segment_label,start_s,end_s,velocity_kmh,status,marker_ik,n_frames
austra,ng,ng_v0,200.59,202.09,3.54,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_ng_ng_v0_marker_ik_200.59_202.09.mot,151
austra,ng,ng_v1,270.55,272.05,4.02,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_ng_ng_v1_marker_ik_270.55_272.05.mot,151
austra,ng,ng_v2,340.01,341.51,4.46,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_ng_ng_v2_marker_ik_340.01_341.51.mot,151
austra,gwo,gwo_v0,6.11,7.61,3.57,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_gwo_gwo_v0_marker_ik_6.11_7.61.mot,151
austra,gwo,gwo_v1,37.63,39.13,4.05,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_gwo_gwo_v1_marker_ik_37.63_39.13.mot,151
austra,gwo,gwo_v2,67.68,69.18,4.57,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_gwo_gwo_v2_marker_ik_67.68_69.18.mot,151
austra,rd,rd_correct,49.252,50.752,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_rd_rd_correct_marker_ik_49.25_50.75.mot,151
austra,rd,rd_toes,89.211,90.711,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_rd_rd_toes_marker_ik_89.21_90.71.mot,151
austra,rd,rd_supination,126.065,127.565,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_rd_rd_supination_marker_ik_126.06_127.56.mot,151
austra,rd,rd_pronation,171.044,172.44313,,ok,/home/ilab/venv/OpenSim_Based_Estimation_of_Muscle_Tendon_Length_Trajectories_from_Commercial_IMU_Derived_Gait_Kinematics-2/gaitex_extra_tasks/marker_ik/austra_rd_rd_pronation_marker_ik_171.04_172.44.mot,141
