subject,segment_label,velocity_kmh,start_s,end_s,status,marker_ik,n_frames
austra,ng_v0,3.54,200.59,202.09,ok,marker_ik/austra_ng_ng_v0_marker_ik_200.59_202.09.mot,151
austra,ng_v1,4.02,270.55,272.05,ok,marker_ik/austra_ng_ng_v1_marker_ik_270.55_272.05.mot,151
austra,ng_v2,4.46,340.01,341.51,ok,marker_ik/austra_ng_ng_v2_marker_ik_340.01_341.51.mot,151
darryl,ng_v0,4.08,6.33,7.83,ok,marker_ik/darryl_ng_ng_v0_marker_ik_6.33_7.83.mot,151
darryl,ng_v1,4.57,38.68,40.18,ok,marker_ik/darryl_ng_ng_v1_marker_ik_38.68_40.18.mot,151
darryl,ng_v2,5.09,69.27,70.77,ok,marker_ik/darryl_ng_ng_v2_marker_ik_69.27_70.77.mot,151
elodie,ng_v0,3.05,6.32,7.82,ok,marker_ik/elodie_ng_ng_v0_marker_ik_6.32_7.82.mot,151
elodie,ng_v1,3.57,40.05,41.55,ok,marker_ik/elodie_ng_ng_v1_marker_ik_40.05_41.55.mot,151
elodie,ng_v2,4.07,70.66,72.16,ok,marker_ik/elodie_ng_ng_v2_marker_ik_70.66_72.16.mot,151
erna,ng_v0,3.05,11.42,12.92,ok,marker_ik/erna_ng_ng_v0_marker_ik_11.42_12.92.mot,151
erna,ng_v1,3.57,28.31,29.81,ok,marker_ik/erna_ng_ng_v1_marker_ik_28.31_29.81.mot,151
erna,ng_v2,4.06,42.72,44.22,ok,marker_ik/erna_ng_ng_v2_marker_ik_42.72_44.22.mot,151
etsuko,ng_v0,3.04,4.79,6.29,ok,marker_ik/etsuko_ng_ng_v0_marker_ik_4.79_6.29.mot,151
etsuko,ng_v1,3.56,37.81,39.31,ok,marker_ik/etsuko_ng_ng_v1_marker_ik_37.81_39.31.mot,151
etsuko,ng_v2,4.09,69.97,71.47,ok,marker_ik/etsuko_ng_ng_v2_marker_ik_69.97_71.47.mot,151
gregers,ng_v0,3.05,5.58,7.08,ok,marker_ik/gregers_ng_ng_v0_marker_ik_5.58_7.08.mot,151
gregers,ng_v1,3.59,81.5,83.0,ok,marker_ik/gregers_ng_ng_v1_marker_ik_81.50_83.00.mot,151
gregers,ng_v2,4.09,101.54,103.04,ok,marker_ik/gregers_ng_ng_v2_marker_ik_101.54_103.04.mot,151
hamit,ng_v0,4.07,13.28,14.78,ok,marker_ik/hamit_ng_ng_v0_marker_ik_13.28_14.78.mot,151
hamit,ng_v1,4.59,45.56,47.06,ok,marker_ik/hamit_ng_ng_v1_marker_ik_45.56_47.06.mot,151
hamit,ng_v2,5.13,75.55,77.05,ok,marker_ik/hamit_ng_ng_v2_marker_ik_75.55_77.05.mot,151
julia,ng_v0,3.05,7.43,8.93,ok,marker_ik/julia_ng_ng_v0_marker_ik_7.43_8.93.mot,151
julia,ng_v1,3.56,37.49,38.99,ok,marker_ik/julia_ng_ng_v1_marker_ik_37.49_38.99.mot,151
julia,ng_v2,4.04,67.63,69.13,ok,marker_ik/julia_ng_ng_v2_marker_ik_67.63_69.13.mot,151
jung-hee,ng_v0,3.58,5.71,7.21,ok,marker_ik/jung-hee_ng_ng_v0_marker_ik_5.71_7.21.mot,151
jung-hee,ng_v1,4.08,40.08,41.58,ok,marker_ik/jung-hee_ng_ng_v1_marker_ik_40.08_41.58.mot,151
jung-hee,ng_v2,4.6,69.7,71.2,ok,marker_ik/jung-hee_ng_ng_v2_marker_ik_69.70_71.20.mot,151
katee,ng_v0,3.05,5.43,6.93,ok,marker_ik/katee_ng_ng_v0_marker_ik_5.43_6.93.mot,151
katee,ng_v1,3.57,36.57,38.07,ok,marker_ik/katee_ng_ng_v1_marker_ik_36.57_38.07.mot,151
katee,ng_v2,4.05,68.29,69.79,ok,marker_ik/katee_ng_ng_v2_marker_ik_68.29_69.79.mot,151
latifah,ng_v0,3.58,9.42,10.92,ok,marker_ik/latifah_ng_ng_v0_marker_ik_9.42_10.92.mot,151
latifah,ng_v1,4.08,84.35,85.85,ok,marker_ik/latifah_ng_ng_v1_marker_ik_84.35_85.85.mot,151
latifah,ng_v2,4.6,148.16,149.66,ok,marker_ik/latifah_ng_ng_v2_marker_ik_148.16_149.66.mot,151
laurel,ng_v0,3.06,3.89,5.390000000000001,ok,marker_ik/laurel_ng_ng_v0_marker_ik_3.89_5.39.mot,151
laurel,ng_v1,3.56,31.84,33.34,ok,marker_ik/laurel_ng_ng_v1_marker_ik_31.84_33.34.mot,151
laurel,ng_v2,4.12,62.1,63.6,ok,marker_ik/laurel_ng_ng_v2_marker_ik_62.10_63.60.mot,151
marquise,ng_v0,4.05,7.24,8.74,ok,marker_ik/marquise_ng_ng_v0_marker_ik_7.24_8.74.mot,151
marquise,ng_v1,4.61,37.38,38.88,ok,marker_ik/marquise_ng_ng_v1_marker_ik_37.38_38.88.mot,151
marquise,ng_v2,7.2,72.41,73.91,ok,marker_ik/marquise_ng_ng_v2_marker_ik_72.41_73.91.mot,151
neves,ng_v0,3.49,32.37,33.87,ok,marker_ik/neves_ng_ng_v0_marker_ik_32.37_33.87.mot,151
neves,ng_v1,4.03,91.24,92.74,ok,marker_ik/neves_ng_ng_v1_marker_ik_91.24_92.74.mot,151
