Muscle,Subject,Peak_mean,Peak_SD,Peak_CV_%,Min_mean,Min_SD,Min_CV_%,ROM_mean,ROM_SD,ROM_CV_%
Glut. medius,S135,0.138043008858035,0.0016964143194297112,1.2289027408655828,0.10703793482698504,0.002288501446048602,2.1380284006298433,0.031005074031049965,0.000736182458524589,2.3743934872961137
Rect. femoris,S135,0.4234638027920603,0.0025326406466206486,0.5980772453092735,0.33479334545194533,0.003984850328522597,1.1902417962171126,0.08867045734011503,0.0015697733554179366,1.7703453918104042
Soleus,S135,0.3004299228290955,0.0002197699935577589,0.0731518323768231,0.2713361433107799,0.0012587380652181776,0.4639035735745896,0.02909377951831558,0.001458893426752057,5.014451373819036
Med. gastrocnemius,S135,0.46131768914723353,0.0008488821651775513,0.184012489689426,0.43534431758641784,0.001420970122914676,0.32640144031111806,0.025973371560815656,0.002237508902092012,8.614626317776922
Tib. anterior,S135,0.32043538586241344,0.0009454979057614262,0.2950666335482056,0.29489393018212723,0.00023034363927733592,0.07811067495864533,0.025541455680286207,0.0011566663779471202,4.528584401866633
Vast. lateralis,S135,0.2063153580461712,0.001023749202487678,0.49620600821126154,0.14800983411703372,4.6782601593391114e-12,3.1607765708594317e-09,0.058305523929137515,0.001023749199993279,1.7558356927510121
Glut. medius,S146,0.13542961709590248,0.0002787006149931419,0.20579000440928974,0.10231239272693171,0.0027219556682968357,2.6604359410903844,0.03311722436897077,0.0027309436553772395,8.246293907215247
Rect. femoris,S146,0.42638618229569053,0.0005036486150320187,0.11812029468692964,0.3439751069215444,0.0012164391881833343,0.3536416338583437,0.08241107537414612,0.00094746526458906,1.1496819575373451
Soleus,S146,0.3056893341856474,0.0012240665448407212,0.40042828059461716,0.27517851730342396,0.0007375224281438205,0.2680159902637297,0.03051081688222344,0.0006511888366201783,2.1342884365694625
Med. gastrocnemius,S146,0.4658844602160874,0.0013965068597299676,0.299753904451382,0.4379616836044998,0.0007829407666497639,0.17876923848817713,0.027922776611587635,0.0012435400427132238,4.4534970859494285
Tib. anterior,S146,0.31750221280486096,0.0005728582466127385,0.18042653673246084,0.28913061395341283,0.001405284881058991,0.486038078722934,0.028371598851448115,0.000927896426091467,3.2705115807884972
Vast. lateralis,S146,0.20276543685986112,0.0010201855111158522,0.5031358040675055,0.14801682982560818,1.2112942956781492e-05,0.008183490330831183,0.054748607034252966,0.0010081849295788493,1.8414805128248974
