subject,muscle,muscle_label,n_trials,n_cycles,mean_rom_m,sd_rom_m,mean_peak_phase_pct,sd_peak_phase_pct,cv_rom_pct
S135,bifemlh_r,Biceps femoris LH,3,723,0.06214312723066886,0.001735170657919825,83.66666666666667,0.5773502691896247,2.7922165092835627
S135,bifemsh_r,Biceps femoris SH,3,723,0.008496055362946073,0.0007157185135391201,84.66666666666667,0.5773502691896247,8.424127232746036
S135,glut_med1_r,Glut. medius,3,723,0.010438083018896252,0.0006031037209784288,86.33333333333333,0.5773502691896278,5.777916499481937
S135,med_gas_r,Med. gastrocnemius,3,723,0.020271323256595086,0.001715586663119221,50.666666666666664,0.5773502691896263,8.463121234875828
S135,rect_fem_r,Rect. femoris,3,723,0.0856173049163379,0.0009629547178982662,44.333333333333336,0.5773502691896247,1.124719726741259
S135,semimem_r,Semimembranosus,3,723,0.050373429034735163,0.0015632660815471378,84.66666666666667,0.5773502691896247,3.1033545095156865
S135,semiten_r,Semitendinosus,3,723,0.06255653231066044,0.0020435052681115353,84.33333333333333,0.5773502691896278,3.2666536852831523
S135,soleus_r,Soleus,3,723,0.024099465304111334,0.001478076609298917,47.666666666666664,0.5773502691896263,6.133234039208161
S135,tib_ant_r,Tib. anterior,3,723,0.02121749279708261,0.0012643379593264164,64.66666666666667,0.5773502691896247,5.958941385856212
S135,vas_lat_r,Vast. lateralis,3,723,0.05642082456927758,0.0012970028185584335,35.666666666666664,1.5275252316519468,2.2988016011107377
S140,bifemlh_r,Biceps femoris LH,3,672,0.056182187042322494,0.0014977679975845073,82.66666666666667,0.5773502691896247,2.6659125897968807
S140,bifemsh_r,Biceps femoris SH,3,672,0.006183215170008083,0.0005348238482857065,59.333333333333336,0.5773502691896263,8.649607584091358
S140,glut_med1_r,Glut. medius,3,672,0.010419462455523684,0.0005529036679220205,83.0,0.0,5.3064509832645825
S140,med_gas_r,Med. gastrocnemius,3,672,0.019560140170187017,0.0008686714938117628,50.0,1.0,4.441028981662237
S140,rect_fem_r,Rect. femoris,3,672,0.08055474280104812,0.0012171266851388105,43.0,0.0,1.5109311293375196
S140,semimem_r,Semimembranosus,3,672,0.04342174053634216,0.0015808525138368797,84.0,0.0,3.640693565735287
S140,semiten_r,Semitendinosus,3,672,0.05437539359679048,0.002101928334677543,83.66666666666667,0.5773502691896247,3.86558734685023
S140,soleus_r,Soleus,3,672,0.019986809770290232,0.0004042499419991599,51.666666666666664,0.5773502691896263,2.0225836271282516
S140,tib_ant_r,Tib. anterior,3,672,0.019201091734483904,0.0002283833842060565,66.0,0.0,1.1894291604049518
S140,vas_lat_r,Vast. lateralis,3,672,0.052073068946912764,0.0010801323908918715,38.666666666666664,0.5773502691896263,2.074262978417962
S142,bifemlh_r,Biceps femoris LH,3,639,0.05677318663284392,0.000435867342150447,82.33333333333333,0.5773502691896278,0.7677345028547208
S142,bifemsh_r,Biceps femoris SH,3,639,0.006472089213694012,0.000815829766459819,59.0,0.0,12.605354152622624
S142,glut_med1_r,Glut. medius,3,639,0.011244774980684796,0.00013940133468056033,96.33333333333333,0.5773502691896278,1.239698748263177
S142,med_gas_r,Med. gastrocnemius,3,639,0.01853126962837796,0.0009421023700181869,49.0,1.0,5.0838522611289045
S142,rect_fem_r,Rect. femoris,3,639,0.0799235077784421,0.0008231714836249696,44.0,0.0,1.0299491432569543
S142,semimem_r,Semimembranosus,3,639,0.04502017233119526,0.0008163674856591677,84.33333333333333,0.5773502691896278,1.813337096209853
S142,semiten_r,Semitendinosus,3,639,0.0557553047861661,0.0008710721239723145,83.33333333333333,0.5773502691896278,1.5623125500130766
S142,soleus_r,Soleus,3,639,0.02114833690176336,0.0008258342130186547,47.0,0.0,3.904960550112081
S142,tib_ant_r,Tib. anterior,3,639,0.01900739709678088,0.0006863872990839896,63.333333333333336,0.5773502691896247,3.6111588324749477
S142,vas_lat_r,Vast. lateralis,3,639,0.052792467991848196,0.0015918298225104366,41.0,0.0,3.0152593410791755
S146,bifemlh_r,Biceps femoris LH,3,674,0.056547572433106076,0.000356111171166436,83.33333333333333,0.5773502691896247,0.6297550113008014
S146,bifemsh_r,Biceps femoris SH,3,674,0.0066262617936554595,0.0005024343620709766,60.666666666666664,0.5773502691896263,7.582470746206398
S146,glut_med1_r,Glut. medius,3,674,0.012906451773054356,0.0001672158460897512,96.66666666666667,0.5773502691896247,1.2955988913921226
S146,med_gas_r,Med. gastrocnemius,3,674,0.01994361693215263,0.0003066784685788979,51.0,0.0,1.537727432402084
S146,rect_fem_r,Rect. femoris,3,674,0.08023307113687418,0.00023687971465054925,45.666666666666664,0.5773502691896247,0.29523949575162417
S146,semimem_r,Semimembranosus,3,674,0.044235062050139586,0.00011072588259897225,84.66666666666667,0.5773502691896278,0.2503124839600465
S146,semiten_r,Semitendinosus,3,674,0.05426647187601339,0.00021182854739364452,83.66666666666667,0.5773502691896278,0.39034884721753205
S146,soleus_r,Soleus,3,674,0.022245087138387316,0.0006493944784186345,47.666666666666664,0.5773502691896247,2.919271452517732
S146,tib_ant_r,Tib. anterior,3,674,0.02012520526327403,0.0005151620325897927,64.33333333333333,0.5773502691896247,2.559785233743174
S146,vas_lat_r,Vast. lateralis,3,674,0.052765813893399786,0.0009278578248036487,41.666666666666664,0.5773502691896247,1.7584450164611405
