subject,trial,condition,perturb_deg,muscle,muscle_label,n_cycles,peak_m,min_m,rom_m,peak_phase_pct,min_phase_pct
S135,S135_G03_D01_B01_T01,sagittal,0.0,glut_med1_r,Glut. medius,240,0.12625167732576553,0.11515135535859078,0.011100321967174753,86.0,51.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,rect_fem_r,Rect. femoris,240,0.4258567121599642,0.34078540134126867,0.08507131081869551,44.0,77.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,vas_lat_r,Vast. lateralis,240,0.20532714077134168,0.1480529049734304,0.05727423579791127,37.0,71.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,tib_ant_r,Tib. anterior,240,0.3173400811253502,0.29724442468355977,0.020095656441790455,65.0,48.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,soleus_r,Soleus,240,0.29814937012368925,0.27538325546441406,0.022766114659275194,48.0,65.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,med_gas_r,Med. gastrocnemius,240,0.4580094236978666,0.43919187041437496,0.01881755328349166,51.0,64.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,semimem_r,Semimembranosus,240,0.44768525789079755,0.39864218036419213,0.049043077526605416,84.0,46.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,semiten_r,Semitendinosus,240,0.5058796580802137,0.44523721357757406,0.06064244450263967,84.0,45.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,bifemlh_r,Biceps femoris LH,240,0.4628062877557376,0.40238569257143014,0.06042059518430748,83.0,47.0
S135,S135_G03_D01_B01_T01,sagittal,0.0,bifemsh_r,Biceps femoris SH,240,0.25250940180930365,0.2435278055910381,0.008981596218265553,84.0,37.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,glut_med1_r,Glut. medius,241,0.12674011868742047,0.11681973965379787,0.009920379033622598,86.0,51.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,rect_fem_r,Rect. femoris,241,0.41989286597619035,0.3348414320714122,0.08505143390477815,44.0,78.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,vas_lat_r,Vast. lateralis,241,0.20299542348967975,0.14806712969274446,0.054928293796935285,34.0,74.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,tib_ant_r,Tib. anterior,241,0.31886783079888253,0.29628030742815914,0.022587523370723395,64.0,47.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,soleus_r,Soleus,241,0.2990931616390624,0.2734043387777453,0.02568882286131713,47.0,64.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,med_gas_r,Med. gastrocnemius,241,0.459609565318244,0.4374459591826803,0.022163606135563674,50.0,64.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,semimem_r,Semimembranosus,241,0.45396064698048594,0.40397865209620526,0.04998199488428068,85.0,46.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,semiten_r,Semitendinosus,241,0.5136045180559425,0.4512859793629376,0.062318538693004966,84.0,46.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,bifemlh_r,Biceps femoris LH,241,0.47004091960571903,0.407922799291798,0.062118120313921055,84.0,47.0
S135,S135_G03_D01_B01_T02,sagittal,0.0,bifemsh_r,Biceps femoris SH,241,0.2524982064565734,0.244824093817745,0.00767411263882839,85.0,34.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,glut_med1_r,Glut. medius,242,0.12674722143534894,0.11645367337945754,0.010293548055891402,87.0,52.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,rect_fem_r,Rect. femoris,242,0.42273476079540084,0.3360055907698608,0.08672917002554004,45.0,78.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,vas_lat_r,Vast. lateralis,242,0.20510747146618516,0.14804752735319898,0.05705994411298618,36.0,71.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,tib_ant_r,Tib. anterior,242,0.318056691147105,0.297087392568371,0.020969298578733975,65.0,48.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,soleus_r,Soleus,242,0.29830409250425793,0.27446063411251626,0.02384345839174168,48.0,65.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,med_gas_r,Med. gastrocnemius,242,0.45809270061429475,0.4382598902635648,0.019832810350729924,51.0,64.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,semimem_r,Semimembranosus,242,0.45394990428343984,0.40185468959012044,0.0520952146933194,85.0,47.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,semiten_r,Semitendinosus,242,0.5134782710571069,0.4487696573207702,0.06470861373633668,85.0,46.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,bifemlh_r,Biceps femoris LH,242,0.4697872585853403,0.4058965923915623,0.06389066619377803,84.0,48.0
S135,S135_G03_D01_B01_T03,sagittal,0.0,bifemsh_r,Biceps femoris SH,242,0.2524851728821783,0.24365271565043403,0.008832457231744278,85.0,36.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,glut_med1_r,Glut. medius,221,0.1257730305793519,0.11475055253322969,0.01102247804612222,83.0,49.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,rect_fem_r,Rect. femoris,221,0.42099361925729645,0.34183065727903267,0.07916296197826378,43.0,79.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,vas_lat_r,Vast. lateralis,221,0.19948518212756072,0.14811051484384066,0.05137466728372006,38.0,68.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,tib_ant_r,Tib. anterior,221,0.3097154270572775,0.2907626493025688,0.018952777754708716,66.0,51.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,soleus_r,Soleus,221,0.3042474764328182,0.2847244562794675,0.019523020153350668,51.0,66.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,med_gas_r,Med. gastrocnemius,221,0.46516078114585824,0.4466025685753377,0.018558212570520538,49.0,8.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,semimem_r,Semimembranosus,221,0.4427518554141108,0.4011514769485186,0.04160037846559217,84.0,44.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,semiten_r,Semitendinosus,221,0.5004977532400388,0.44854934767738497,0.05194840556265379,84.0,44.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,bifemlh_r,Biceps femoris LH,221,0.4586329197599582,0.40416729512370514,0.05446562463625304,83.0,45.0
S140,S140_G03_D01_B01_T01,sagittal,0.0,bifemsh_r,Biceps femoris SH,221,0.25238885162584385,0.24658431478176626,0.005804536844077585,59.0,38.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,glut_med1_r,Glut. medius,225,0.12611176014274172,0.11581219707378317,0.010299563068958559,83.0,49.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,rect_fem_r,Rect. femoris,225,0.4214448449020249,0.3400250757274881,0.0814197691745368,43.0,78.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,vas_lat_r,Vast. lateralis,225,0.20134944668520088,0.1480322677942725,0.05331717889092838,39.0,71.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,tib_ant_r,Tib. anterior,225,0.31111764284342913,0.2918692972774295,0.019248345565999636,66.0,52.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,soleus_r,Soleus,225,0.3032452953209367,0.2830723335997679,0.02017296172116878,52.0,66.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,med_gas_r,Med. gastrocnemius,225,0.46501120286300957,0.4449912811456121,0.02001992171739747,51.0,10.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,semimem_r,Semimembranosus,225,0.4461567370835236,0.401719078512945,0.044437658570578575,84.0,45.0
S140,S140_G03_D01_B01_T02,sagittal,0.0,semiten_r,Semitendinosus,225,0.5044857206399541,0.4489168214161827,0.055568899223771395,83.0,45.0
