subject,trial,n_frames,n_detected_heel_strikes,n_cycles
S135,S135_G03_D01_B01_T01,48001,241,240
S135,S135_G03_D01_B01_T02,48001,242,241
S135,S135_G03_D01_B01_T03,48001,243,242
S146,S146_G03_D01_B01_T01,48001,219,218
S146,S146_G03_D01_B01_T02,48001,229,228
S146,S146_G03_D01_B01_T03,48001,229,228
S140,S140_G03_D01_B01_T01,48001,222,221
S140,S140_G03_D01_B01_T02,48001,226,225
S140,S140_G03_D01_B01_T03,48001,227,226
S142,S142_G03_D01_B01_T01,48001,213,212
S142,S142_G03_D01_B01_T02,48001,214,213
S142,S142_G03_D01_B01_T03,48001,215,214
