reference_dataset,reference_movement,nonan_dataset,muscle,muscle_label,rmse_m,nrmse_pct_of_reference_rom,corr,nonan_rom_m,reference_rom_m
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,glut_med1_r,Glut. medius,0.002820964267509611,45.50938478872404,0.9611039219308002,0.011595021829006416,0.006198642940584351
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,rect_fem_r,Rect. femoris,0.02323932776306046,43.64194193897815,0.8852433059041759,0.08279992899033134,0.05324998551978871
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,vas_lat_r,Vast. lateralis,0.015909352767776726,31.64145336638286,0.8884010740022783,0.054477537848934526,0.0502800948602426
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,tib_ant_r,Tib. anterior,0.003467613362401546,11.914209279345593,0.9531798098444458,0.02065341743762461,0.029104855228730797
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,soleus_r,Soleus,0.0038152238289767657,11.398283908521186,0.9558098476715824,0.02316289100179819,0.03347191436532443
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,med_gas_r,Med. gastrocnemius,0.004172793228039178,15.418305425251063,0.8778899039367521,0.02006043167266164,0.027063890051141792
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,semimem_r,Semimembranosus,0.011730872183815915,37.01144679695179,0.8716967498513504,0.04734986431925747,0.03169525430381731
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,semiten_r,Semitendinosus,0.014911315294616152,38.43328504974453,0.8698951240053181,0.058523368474307946,0.038797920280080944
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,bifemlh_r,Biceps femoris LH,0.01537126413094172,40.56184632852794,0.8879080178152977,0.05940547538702878,0.03789586895636654
Dorschky2019_P01_OMC_mean,fastwalking,NONAN_GaitPrint_older_S135_S146,bifemsh_r,Biceps femoris SH,0.003516622046741294,58.56284187731797,0.026647630579665366,0.007468149886246639,0.006004869186690409
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,glut_med1_r,Glut. medius,0.002801686610048439,46.82688724661004,0.938769906013401,0.011595021829006416,0.005983072492718941
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,rect_fem_r,Rect. femoris,0.020898906733694586,41.0277440697849,0.888892508974208,0.08279992899033134,0.05093847397055812
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,vas_lat_r,Vast. lateralis,0.014919057871447608,29.59524958650213,0.8868017996563881,0.054477537848934526,0.05041031273563554
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,tib_ant_r,Tib. anterior,0.0039033462038576792,13.001521221148032,0.9234244616572654,0.02065341743762461,0.03002222691840528
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,soleus_r,Soleus,0.00440784076466736,12.886773567248081,0.9150953855723836,0.02316289100179819,0.034204378168558425
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,med_gas_r,Med. gastrocnemius,0.004672502714112036,17.03757759715607,0.7938343750380956,0.02006043167266164,0.027424689263877366
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,semimem_r,Semimembranosus,0.011056685340355041,37.642726137204455,0.8560037998300132,0.04734986431925747,0.02937270085076832
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,semiten_r,Semitendinosus,0.01378325383577827,38.31375117893982,0.8654529704289221,0.058523368474307946,0.03597469162287248
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,bifemlh_r,Biceps femoris LH,0.014123598878803954,39.92774731266282,0.8914347954997236,0.05940547538702878,0.03537289185940312
Dorschky2019_P01_OMC_mean,normwalking,NONAN_GaitPrint_older_S135_S146,bifemsh_r,Biceps femoris SH,0.0035287263244536647,55.55984799991237,-0.05566208322036463,0.007468149886246639,0.006351216663622317
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,glut_med1_r,Glut. medius,0.002767648995600024,51.45147679623727,0.9565186313858612,0.011595021829006416,0.005379143938979078
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,rect_fem_r,Rect. femoris,0.017547421241886674,34.91205214084086,0.913933354736186,0.08279992899033134,0.05026178687834659
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,vas_lat_r,Vast. lateralis,0.011958625678484165,23.879227811604565,0.9207736260221034,0.054477537848934526,0.05007961636294053
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,tib_ant_r,Tib. anterior,0.004211819249162278,14.986844139765015,0.881891895006057,0.02065341743762461,0.028103443325916355
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,soleus_r,Soleus,0.0046932069250690146,14.839183737306286,0.8707692606869455,0.02316289100179819,0.03162712321749955
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,med_gas_r,Med. gastrocnemius,0.004676056599021158,18.693084846564524,0.7474564720836471,0.02006043167266164,0.025014900629847292
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,semimem_r,Semimembranosus,0.009975208039388334,37.92268401515513,0.9295525036858554,0.04734986431925747,0.02630406654603329
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,semiten_r,Semitendinosus,0.012289730914798182,37.71886739055393,0.9386960418512582,0.058523368474307946,0.03258244948753669
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,bifemlh_r,Biceps femoris LH,0.012676202257620265,39.114927257483885,0.9482440984677242,0.05940547538702878,0.03240758233851737
Dorschky2019_P01_OMC_mean,slowwalking,NONAN_GaitPrint_older_S135_S146,bifemsh_r,Biceps femoris SH,0.003178471681736977,53.661668755396484,0.09338531423274468,0.007468149886246639,0.005923169658076155
