subject,muscle,n_postures,posture_correlation,mean_absolute_error_mm,mean_signed_error_pct,direct_rom_mm,opensim_rom_mm
S01,gaslat_r,6,0.9558455391341685,27.967617218284317,-5.604593449133517,46.63232480191442,59.60553363807844
S01,gasmed_r,6,0.9506650032377238,30.040140516611853,-5.932388757847169,49.108519664714095,57.145168449467576
S02,gaslat_r,6,0.9547638711232029,74.1653368154275,-14.60553260455408,33.71004539548073,27.046652022373962
S02,gasmed_r,6,0.9435455668621632,84.60220315042625,-16.18999331678929,33.71944226856999,26.439739774970406
S03,gaslat_r,6,0.8812562944684855,24.094289049992927,-5.033764098434006,29.597941496753435,39.648345428906794
S03,gasmed_r,6,0.7446516165718751,35.62769151890509,-7.1953624605890205,27.45859473388913,38.26222820658268
S04,gaslat_r,6,0.991127903780075,10.908998834859034,-2.3030006685947515,29.52725394662508,43.571774753114084
S04,gasmed_r,6,0.9561395596572523,25.650767503638832,-5.172429323043102,33.84190807348665,42.37039740147986
S05,gaslat_r,6,0.8186882293405401,39.66777154230595,-8.576137040033922,33.904713824018074,30.027883198273344
S05,gasmed_r,6,0.8135758668861758,37.52257886222778,-8.053058553762517,39.61300847356449,29.468319715702137
S06,gaslat_r,6,0.9377852551122835,25.57613953616244,-5.381099392044668,31.06591618541296,38.15416577489452
S06,gasmed_r,6,0.9685803250686361,30.661177035398158,-6.325954582142285,27.39603376228797,36.61228529210592
S07,gaslat_r,6,0.9139633285140748,42.28336438116909,-8.144895721356727,26.312989208208307,38.89755558224732
S07,gasmed_r,6,0.9103516570601063,35.19454998861243,-6.827818734504447,24.990374869566494,38.27594117081048
S08,gaslat_r,6,0.9039738745861619,41.173755321934586,-7.916988877238712,18.444859979377384,32.153161650176116
S08,gasmed_r,6,0.8451173467762733,36.866289024769316,-7.081938968574171,19.807970927710528,30.639710332243453
S09,gaslat_r,6,0.9932220045589157,40.60222875180967,-9.450896770612408,35.142565794567645,38.00517504018785
S09,gasmed_r,6,0.9642114219140978,43.56755775854813,-9.971836971720231,39.69753245290303,37.34363745752796
S10,gaslat_r,6,0.9441485676763424,17.728890967201192,-3.9707291663392876,35.72859056727788,46.53046044053224
S10,gasmed_r,6,0.9063893869943169,19.048256331083337,-4.213752249045509,27.608891325489765,44.30502371351008
S11,gaslat_r,6,0.8563572709572516,38.4850173494139,-9.138292227922287,32.542734430461906,45.92787498852806
S11,gasmed_r,6,0.8885701226754997,57.37568923265309,-12.928076209177632,30.45706332231083,45.04394711169698
S12,gaslat_r,6,0.9600000814534508,29.655659586560933,-7.48499066703934,33.999537196541155,45.714480316338154
S12,gasmed_r,6,0.9404265583316302,42.93203765667399,-10.356397670025864,26.233913684961863,44.140384827994524
S13,gaslat_r,5,0.8381568652246458,9.089813743792797,-0.8649757747301496,27.595130127277457,44.28394792144843
S13,gasmed_r,5,0.8793514304632933,7.173128254154312,0.3093199453079584,26.157634717371934,41.810219616970244
S14,gaslat_r,6,0.8471384548877825,7.383100675690893,1.296572571206439,29.32062352789535,38.994183658737086
S14,gasmed_r,6,0.7965461459694483,7.590089884931473,1.1185882539918885,24.861221956101076,37.66303093634002
